userIdxBP	 actualIdxBP	STAT	pvalue	 usedSNPsNo	startBP	endBP	sectrSampleSize	sectrGeneName	executedPerm	desc
160742014	160742014	4.01572683513747	0	115	160728486	160840829	190	ENSG00000026751	10000	executed
160742014	160742014	NA	NA	91	160728486	160830769	190	ENSG00000066294	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.92857440859272	0.618	92	160728486	160840829	190	ENSG00000117090	10000	executed
160742014	160742014	-1.22821917489519	0.3512	89	160728486	160830769	190	ENSG00000117091	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000122218	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-19.0168158496777	1	118	160728486	160839495	190	ENSG00000122223	10000	executed
160742014	160742014	-2.56290489407258	0.7905	89	160728486	160830769	190	ENSG00000122224	10000	executed
160742014	160742014	-2.35019129985763	0.7417	108	160728486	160837619	190	ENSG00000132716	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000143217	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	93	160728486	160830769	190	ENSG00000143222	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.8535844675695	0.8406	91	160728486	160840829	190	ENSG00000143224	10000	executed
160742014	160742014	NA	NA	93	160728486	160830769	190	ENSG00000143226	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	0.387266292698213	0.005	90	160728486	160830769	190	ENSG00000143252	10000	executed
160742014	160742014	-1.74769437377165	0.5597	109	160728486	160840829	190	ENSG00000143256	10000	executed
160742014	160742014	-2.89415660344153	0.8468	92	160728486	160831701	190	ENSG00000143257	10000	executed
160742014	160742014	NA	NA	91	160728486	160840829	190	ENSG00000143258	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000143315	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.24527665075322	0.3576	89	160728486	160830769	190	ENSG00000143318	10000	executed
160742014	160742014	-0.231958715995074	0.037	90	160728486	160830769	190	ENSG00000158710	10000	executed
160742014	160742014	-2.00195118441511	0.6943	83	160728486	160824666	190	ENSG00000158714	10000	executed
160742014	160742014	NA	NA	49	160728486	160779413	190	ENSG00000158716	0	too few SNPs to run JLIM
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000158769	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.34771641307212	0.3982	89	160728486	160830769	190	ENSG00000158773	10000	executed
160742014	160742014	-1.18946612184208	0.3374	90	160728486	160830769	190	ENSG00000158793	10000	executed
160742014	160742014	-2.85710730713842	0.8409	107	160728486	160837619	190	ENSG00000158796	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000158850	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.30048856256565	0.3807	89	160728486	160830769	190	ENSG00000158864	10000	executed
160742014	160742014	-0.29926398071431	0.0493	89	160728486	160830769	190	ENSG00000158869	10000	executed
160742014	160742014	NA	NA	90	160728486	160830769	190	ENSG00000158882	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.64688404710895	0.5189	89	160728486	160830769	190	ENSG00000158887	10000	executed
160742014	160742014	-1.05339432060509	0.2885	89	160728486	160830769	190	ENSG00000162729	10000	executed
160742014	160742014	NA	NA	90	160728486	160830769	190	ENSG00000162734	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	91	160728486	160840829	190	ENSG00000162735	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.89037567632759	0.6066	92	160728486	160830769	190	ENSG00000162736	10000	executed
160742014	160742014	-0.902296075749735	0.2329	89	160728486	160830769	190	ENSG00000162738	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000162739	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-0.677774041852962	0.1548	103	160728486	160837619	190	ENSG00000162755	10000	executed
160742014	160742014	NA	NA	94	160728486	160830769	190	ENSG00000171786	0	Second trait min pvalue is higher than threshold: 0.05
