userIdxBP	 actualIdxBP	STAT	pvalue	 usedSNPsNo	startBP	endBP	sectrSampleSize	sectrGeneName	executedPerm	desc
160742014	NA	NA	NA	0	NA	NA	113	ENSG00000132693.12	0	index SNP has been filtered out.
160742014	160742014	-1.99143325532184	0.7975	50	160728486	160779413	113	ENSG00000158716.8	10000	executed
160742014	160742014	-2.47455392324833	0.8018	84	160728486	160826537	113	ENSG00000158714.10	10000	executed
160742014	160742014	-4.5011083659541	0.967	91	160728486	160830769	113	ENSG00000243284.1	10000	executed
160742014	160742014	-1.43196437723608	0.4376	89	160728486	160837619	113	ENSG00000213085.9	10000	executed
160742014	160742014	-4.15410694314648	0.9524	91	160728486	160830769	113	ENSG00000158710.14	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000260766.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.19517127830845	0.7022	95	160728486	160837925	113	ENSG00000143315.6	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000177807.8	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-3.49979342519003	0.9098	99	160728486	160839495	113	ENSG00000162729.13	10000	executed
160742014	160742014	-2.88519705316535	0.8387	90	160728486	160837619	113	ENSG00000018625.14	10000	executed
160742014	160742014	-3.5156385105068	0.9108	108	160728486	160837619	113	ENSG00000132681.16	10000	executed
160742014	160742014	-3.0818063089942	0.8662	106	160728486	160837619	113	ENSG00000143318.12	10000	executed
160742014	160742014	NA	NA	89	160728486	160840829	113	ENSG00000162734.12	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000227741.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000228606.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.78259372732969	0.5731	88	160728486	160830769	113	ENSG00000132716.18	10000	executed
160742014	160742014	-3.66090293697211	0.9231	104	160728486	160830769	113	ENSG00000224261.2	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000162735.18	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000235082.2	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000122218.14	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000162736.15	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000171786.5	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000162738.5	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000162739.13	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	90	160728486	160839495	113	ENSG00000066294.14	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	89	160728486	160839213	113	ENSG00000117090.14	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000235101.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000228863.8	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.87949981263123	0.6062	88	160728486	160830769	113	ENSG00000117091.9	10000	executed
160742014	160742014	-0.847316436086077	0.2273	99	160728486	160840829	113	ENSG00000026751.16	10000	executed
160742014	160742014	-3.96395849730334	0.9434	88	160728486	160830769	113	ENSG00000275801.1	10000	executed
160742014	160742014	-3.78057487501947	0.9332	117	160728486	160840829	113	ENSG00000122224.17	10000	executed
160742014	160742014	-12.6970330575373	1	98	160728486	160839495	113	ENSG00000122223.12	10000	executed
160742014	160742014	NA	NA	90	160728486	160839213	113	ENSG00000179914.4	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000213080.3	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000158769.17	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-3.15059061983164	0.874	98	160728486	160839495	113	ENSG00000215845.10	10000	executed
160742014	160742014	-2.53822696906297	0.7811	91	160728486	160835144	113	ENSG00000158773.14	10000	executed
160742014	160742014	-3.54622508460479	0.9133	89	160728486	160830769	113	ENSG00000186517.13	10000	executed
160742014	160742014	-2.38059607134821	0.7464	90	160728486	160840829	113	ENSG00000143217.8	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	113	ENSG00000162755.13	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-3.24780166106214	0.8868	90	160728486	160837619	113	ENSG00000143256.4	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000158793.13	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.12233756892953	0.6811	89	160728486	160830769	113	ENSG00000158796.16	10000	executed
160742014	160742014	-2.2522010053725	0.7153	107	160728486	160837363	113	ENSG00000143222.11	10000	executed
160742014	160742014	-3.91836868377607	0.9409	89	160728486	160830769	113	ENSG00000143258.15	10000	executed
160742014	160742014	NA	NA	90	160728486	160840829	113	ENSG00000143224.17	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	90	160728486	160830769	113	ENSG00000158850.14	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.21062801224813	0.7051	102	160728486	160830769	113	ENSG00000158864.12	10000	executed
160742014	160742014	NA	NA	91	160728486	160830769	113	ENSG00000158859.9	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-3.17961644778018	0.8781	92	160728486	160830769	113	ENSG00000158869.10	10000	executed
160742014	160742014	-2.99604069940009	0.8534	103	160728486	160830769	113	ENSG00000158874.11	10000	executed
160742014	160742014	-3.22302801076925	0.8835	94	160728486	160837619	113	ENSG00000158882.14	10000	executed
160742014	160742014	-1.81583567316191	0.5844	88	160728486	160830769	113	ENSG00000143257.11	10000	executed
160742014	160742014	NA	NA	94	160728486	160830769	113	ENSG00000248485.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-5.34064646493557	0.9849	98	160728486	160839495	113	ENSG00000158887.15	10000	executed
160742014	160742014	-1.26981307075132	0.3742	102	160728486	160840829	113	ENSG00000143252.14	10000	executed
160742014	160742014	-2.58963308209291	0.7912	89	160728486	160830769	113	ENSG00000283696.1	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000215840.3	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.96061492084415	0.6319	89	160728486	160830769	113	ENSG00000283317.1	10000	executed
160742014	160742014	-1.62653254934178	0.5135	89	160728486	160837619	113	ENSG00000283360.1	10000	executed
160742014	160742014	-1.26452406156626	0.3722	107	160728486	160837619	113	ENSG00000143226.13	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000173110.7	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-6.12084338193822	0.9921	92	160728486	160839213	113	ENSG00000203747.10	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000244682.7	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000225217.1	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-3.10079339149805	0.8669	91	160728486	160830769	113	ENSG00000162747.9	10000	executed
160742014	160742014	-2.5941294690147	0.792	89	160728486	160830769	113	ENSG00000072694.20	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000234211.2	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.99691535641936	0.8535	102	160728486	160840829	113	ENSG00000213075.7	10000	executed
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000132185.16	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	NA	NA	88	160728486	160830769	113	ENSG00000162746.14	0	Second trait min pvalue is higher than threshold: 0.05
160742014	NA	NA	NA	98	160750284	160840829	113	ENSG00000081721.11	0	index SNP has been filtered out.
160742014	NA	NA	NA	83	160766482	160840829	113	ENSG00000226889.3	0	index SNP has been filtered out.
160742014	NA	NA	NA	83	160766482	160840829	113	ENSG00000118217.5	0	index SNP has been filtered out.
